年月日,東京,札幌,那覇
2013/1/1,0,0.5,0
2013/1/2,0,2,0
2013/1/3,0,0,1.5
2013/1/4,0,1,2.5
2013/1/5,0,0.5,4.5
2013/1/6,0,3,1.5
2013/1/7,0,0,0.5
2013/1/8,0,0,31
2013/1/9,0,0,19
2013/1/10,0,0,0.5
2013/1/11,0,0,0
2013/1/12,0,0.5,1
2013/1/13,0,3.5,21.5
2013/1/14,64,0,3.5
2013/1/15,0,8,0
2013/1/16,0,1,0
2013/1/17,0,6.5,0
2013/1/18,0,10.5,0
2013/1/19,0,5.5,0
2013/1/20,0,18,0
2013/1/21,0,3.5,0
2013/1/22,3,0,5.5
2013/1/23,0.5,2,0.5
2013/1/24,2.5,6.5,0
2013/1/25,0,8.5,0
2013/1/26,0,0,0
2013/1/27,0,4.5,0
2013/1/28,0,1,0
2013/1/29,0,9,2
2013/1/30,0,5.5,4.5
2013/1/31,0,0.5,0.5
2013/2/1,0,0,0
2013/2/2,0,1,0
2013/2/3,0,0.5,0
2013/2/4,0,4,0
2013/2/5,0,6,2
2013/2/6,16,0,0.5
2013/2/7,0,14.5,0
2013/2/8,0,8.5,1
2013/2/9,0,4.5,0
2013/2/10,0,0,0
2013/2/11,0,0.5,5
2013/2/12,0,0,19.5
2013/2/13,8.5,0,1
2013/2/14,0,7,0
2013/2/15,3,0.5,9.5
2013/2/16,0,16.5,0.5
2013/2/17,0,10,0
2013/2/18,0,6,0
2013/2/19,0.5,3,3.5
2013/2/20,0,1,0
2013/2/21,0,6,0
2013/2/22,0,0.5,19.5
2013/2/23,0,0,0
2013/2/24,0,10.5,0
2013/2/25,0,12,0
2013/2/26,0,0.5,0
2013/2/27,2,0,13
2013/2/28,0,4,0
2013/3/1,16.5,4.5,0
2013/3/2,0,11,0
2013/3/3,0,6,0
2013/3/4,0.5,1,0
2013/3/5,0,0,0
2013/3/6,0,8.5,0
2013/3/7,0,1,0
2013/3/8,0,7.5,0
2013/3/9,0,13.5,0
2013/3/10,0,9.5,0
2013/3/11,0,4,0
2013/3/12,0,0,0
2013/3/13,4.5,10,0
2013/3/14,7.5,1,0
2013/3/15,0,0,0
2013/3/16,0,5.5,0
2013/3/17,0,0,0
2013/3/18,0.5,3,26.5
2013/3/19,1.5,0,0
2013/3/20,1.5,11.5,4
2013/3/21,0,7,0
2013/3/22,0,2.5,0
2013/3/23,0,0.5,2.5
2013/3/24,0,0,12.5
2013/3/25,5,0,0
2013/3/26,0,0.5,0
2013/3/27,5,0,8
2013/3/28,0,0,0
2013/3/29,0,0,5.5
2013/3/30,0,0,0
2013/3/31,2,0,81.5
2013/4/1,0,0,2.5
2013/4/2,53.5,0,1
2013/4/3,60,0.5,0.5
2013/4/4,0,0,0
2013/4/5,0,0,12
2013/4/6,99.5,1.5,15.5
2013/4/7,9.5,59.5,0
2013/4/8,0,2,0
2013/4/9,0,2.5,0
2013/4/10,0,1,15
2013/4/11,0.5,1,0
2013/4/12,0,4.5,2
2013/4/13,0,0.5,0
2013/4/14,0,4.5,54.5
2013/4/15,0,0.5,0
2013/4/16,0,0,17
2013/4/17,0,1,21.5
2013/4/18,0,1.5,5.5
2013/4/19,0,10.5,1.5
2013/4/20,7.5,1,25.5
2013/4/21,23.5,0,0
2013/4/22,0,0,0
2013/4/23,0,0,0
2013/4/24,25.5,3,0
2013/4/25,3.5,0,23.5
2013/4/26,0,2,0.5
2013/4/27,0,3.5,0
2013/4/28,0,10,0
2013/4/29,0,1.5,0
2013/4/30,0,3,4.5
2013/5/1,5,0.5,9.5
2013/5/2,4.5,1.5,0
2013/5/3,0,10.5,0
2013/5/4,0,1,0
2013/5/5,0,5,0
2013/5/6,0,12.5,0
2013/5/7,0,0,0
2013/5/8,0,0,0
2013/5/9,0,0,0
2013/5/10,0,0,0
2013/5/11,20,17,86
2013/5/12,4,0,1
2013/5/13,0,0,65.5
2013/5/14,0,0,0.5
2013/5/15,0,5,51
2013/5/16,2,0,69.5
2013/5/17,0,0,55
2013/5/18,0,0,0.5
2013/5/19,4.5,0,11.5
2013/5/20,12,0.5,0
2013/5/21,0.5,1,25
2013/5/22,0,4.5,5
2013/5/23,0,1,204
2013/5/24,0,0,0.5
2013/5/25,0,0,0.5
2013/5/26,0,0,14.5
2013/5/27,0,0,0
2013/5/28,0,0,0
2013/5/29,0,0,0
2013/5/30,2.5,1.5,0
2013/5/31,1,0,3
2013/6/1,0,0,0
2013/6/2,0,0,4.5
2013/6/3,0,0.5,0
2013/6/4,0,0,19
2013/6/5,0,0,40.5
2013/6/6,0,0,0
2013/6/7,0,0,0
2013/6/8,0.5,0,0
2013/6/9,0,0,0
2013/6/10,0,0,9
2013/6/11,4.5,0,0
2013/6/12,7,0,1
2013/6/13,41,0,0
2013/6/14,11.5,4,0
2013/6/15,0,30.5,0
2013/6/16,26.5,0,1
2013/6/17,0,8.5,0
2013/6/18,0,1.5,27.5
2013/6/19,1,0,1.5
2013/6/20,9,0,1
2013/6/21,13,0,0
2013/6/22,0,1.5,0
2013/6/23,1.5,0,0
2013/6/24,3.5,0,0
2013/6/25,0,0,0
2013/6/26,37.5,0,0
2013/6/27,2.5,15.5,0
2013/6/28,0,0,0
2013/6/29,0,0,0
2013/6/30,0,0,0
2013/7/1,0,0,0
2013/7/2,0,0,0
2013/7/3,0,1.5,0
2013/7/4,0.5,4.5,0
2013/7/5,2,0,0
2013/7/6,0,0,0
2013/7/7,7.5,0,0
2013/7/8,4.5,0,0
2013/7/9,0,0,0
2013/7/10,0,12.5,0
2013/7/11,0,0,0
2013/7/12,0,0,0
2013/7/13,0,0,0
2013/7/14,36.5,0,0
2013/7/15,0,0,0
2013/7/16,0,0,1.5
2013/7/17,10.5,0,0
2013/7/18,1,0,2.5
2013/7/19,0,0,0
2013/7/20,0,0,0
2013/7/21,0,0,0
2013/7/22,0,0,0
2013/7/23,24.5,0,0
2013/7/24,1.5,0,0
2013/7/25,0,5.5,0
2013/7/26,0,0,0
2013/7/27,19.5,11.5,0
2013/7/28,0.5,4,0
2013/7/29,7,15,0
2013/7/30,0,0,0.5
2013/7/31,0,0,0
2013/8/1,0.5,0,0
2013/8/2,0,0,0
2013/8/3,0,0,0
2013/8/4,0,0,0
2013/8/5,0,0,0
2013/8/6,10.5,0,0
2013/8/7,0,0,0
2013/8/8,0,0,0
2013/8/9,0,27,0
2013/8/10,0,0,17
2013/8/11,0,0,0
2013/8/12,3.5,7,48.5
2013/8/13,6.5,1,23.5
2013/8/14,0,0,71
2013/8/15,0,0,0
2013/8/16,0,0,0
2013/8/17,0,4.5,5
2013/8/18,0,15,0
2013/8/19,0,1,18.5
2013/8/20,0,16,19.5
2013/8/21,26.5,2,6.5
2013/8/22,0,0,0
2013/8/23,7.5,0,0
2013/8/24,0.5,11,2.5
2013/8/25,3.5,39.5,0
2013/8/26,4.5,0.5,0
2013/8/27,35.5,21.5,0
2013/8/28,0,14,0
2013/8/29,0,2,0
2013/8/30,0,18,0
2013/8/31,0,3.5,0
2013/9/1,0,1,0
2013/9/2,0,0,16
2013/9/3,0,4.5,13.5
2013/9/4,14,43,0
2013/9/5,24,5,0
2013/9/6,0,4,0
2013/9/7,0,0,0
2013/9/8,46,0,79
2013/9/9,0,0,7.5
2013/9/10,1.5,0,3.5
2013/9/11,3.5,0,6
2013/9/12,0,0,0
2013/9/13,0,0,0.5
2013/9/14,0,15,0
2013/9/15,78,29,0
2013/9/16,16.5,32,0
2013/9/17,0,0,1
2013/9/18,0,0,0
2013/9/19,0,0,3
2013/9/20,0,0,7
2013/9/21,0,0,22.5
2013/9/22,0,0,0.5
2013/9/23,0,0,0.5
2013/9/24,4,4.5,1.5
2013/9/25,38,26,0
2013/9/26,6,0,2.5
2013/9/27,0,0,0
2013/9/28,0,0,7
2013/9/29,0,0,5.5
2013/9/30,0,9,1
2013/10/1,4,3,0
2013/10/2,35,0,0
2013/10/3,0.5,0,0
2013/10/4,2.5,0,13.5
2013/10/5,30,0,118
2013/10/6,0.5,0,9.5
2013/10/7,0,0,11
2013/10/8,0,0,0
2013/10/9,0,1,0.5
2013/10/10,0.5,0,0.5
2013/10/11,0.5,21,0
2013/10/12,0,0.5,2.5
2013/10/13,0,3,0
2013/10/14,0,0,0
2013/10/15,69.5,1,0.5
2013/10/16,176.5,35,0
2013/10/17,0,10,3.5
2013/10/18,0,0,0
2013/10/19,2.5,0,0
2013/10/20,61,1.5,0
2013/10/21,0,3.5,0
2013/10/22,0,0,0
2013/10/23,0,0,21.5
2013/10/24,2,0,8
2013/10/25,14,17.5,0.5
2013/10/26,36,3.5,0
2013/10/27,0,27,0
2013/10/28,0,3.5,0
2013/10/29,5,0,3.5
2013/10/30,0,0,0
2013/10/31,0,0,7
2013/11/1,0,0,15.5
2013/11/2,0.5,0,0.5
2013/11/3,0,0,2.5
2013/11/4,5,1.5,3.5
2013/11/5,0,0.5,0
2013/11/6,0,0.5,0
2013/11/7,4.5,5.5,6
2013/11/8,0,41.5,0
2013/11/9,0,0,0
2013/11/10,0,15,0
2013/11/11,1.5,4,0.5
2013/11/12,0,0,1
2013/11/13,0,0.5,3.5
2013/11/14,0,0,2
2013/11/15,0.5,0.5,0
2013/11/16,0,0,0.5
2013/11/17,0,0,1.5
2013/11/18,0,0.5,0
2013/11/19,0,0,0
2013/11/20,0,0.5,0
2013/11/21,0,3,0
2013/11/22,0,0.5,0
2013/11/23,0,0.5,0
2013/11/24,0,0,0
2013/11/25,14,18.5,79
2013/11/26,0,2,0
2013/11/27,0,1,0
2013/11/28,0,17,5
2013/11/29,0,0.5,0
2013/11/30,0,2.5,0
2013/12/1,0,0,0
2013/12/2,0,1.5,0
2013/12/3,0,1,0
2013/12/4,0,0.5,0
2013/12/5,0,0,0
2013/12/6,0,0,0
2013/12/7,0,1,0
2013/12/8,0,1,0
2013/12/9,0,0.5,21.5
2013/12/10,9.5,7,0
2013/12/11,0,8,0
2013/12/12,0,1,0
2013/12/13,0,16,18.5
2013/12/14,0,0.5,0.5
2013/12/15,0,8.5,1.5
2013/12/16,0,4.5,1.5
2013/12/17,0,0,52
2013/12/18,9,0,2
2013/12/19,26.5,0,4
2013/12/20,12.5,0,0
2013/12/21,0,0,0
2013/12/22,0,27,0
2013/12/23,0,4,0
2013/12/24,0,0,0
2013/12/25,0,4.5,11.5
2013/12/26,0.5,3,10
2013/12/27,1.5,3.5,2.5
2013/12/28,0,13.5,3
2013/12/29,0,6,0
2013/12/30,0,11.5,0
2013/12/31,0,0,1.5
